CustomerName,Address,City,State,Notes
"O""Brien Corp",9 Riverside Dr,New York,IL,"Standard account, no special terms."
George Weston Bakeries,456 Oak Ave,Miami,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Smith."
"Ingram Micro, Inc.","321 Elm St
Building C
Floor 8",Chicago,CA,"Standard account, no special terms."
"Great Plains Energy, Inc.",9 Riverside Dr,Chicago,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Patel."
"O""Brien Corp","123 Main St, Suite 5",Miami,IL,"Standard account, no special terms."
"Contoso, Ltd.","555 Market St, Floor 12
Building C
Floor 15",Chicago,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Smith."
"Ingram Micro, Inc.","123 Main St, Suite 5",San Francisco,FL,"Standard account, no special terms."
"O""Brien Corp","555 Market St, Floor 12",Chicago,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Doe."
"Northwind Traders, LLC","456 Oak Ave
Building C
Floor 4",Seattle,CA,"Standard account, no special terms."
"Northwind Traders, LLC","12 Industrial Way, Unit B",San Francisco,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Reyes."
"Ingram Micro, Inc.","555 Market St, Floor 12",San Francisco,FL,"Standard account, no special terms."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B
Building A
Floor 14",San Francisco,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Khan."
"Ingram Micro, Inc.",456 Oak Ave,San Francisco,TX,"Standard account, no special terms."
"O""Brien Corp","123 Main St, Suite 5",New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Reyes."
Global Trading Co.,"9 Riverside Dr
Building A
Floor 12",San Francisco,WA,"Standard account, no special terms."
Johnson's Hardware,321 Elm St,Miami,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Nelson."
Johnson's Hardware,789 Pine Rd,Miami,WA,"Standard account, no special terms."
Global Trading Co.,"555 Market St, Floor 12
Building B
Floor 10",Chicago,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Khan."
Global Trading Co.,456 Oak Ave,Houston,FL,"Standard account, no special terms."
"Acme, Inc.","555 Market St, Floor 12",Miami,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Smith."
Smith & Sons,"789 Pine Rd
Building B
Floor 3",Los Angeles,NY,"Standard account, no special terms."
Smith & Sons,"123 Main St, Suite 5",Houston,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Hogan."
"Northwind Traders, LLC",789 Pine Rd,Houston,IL,"Standard account, no special terms."
Smith & Sons,"789 Pine Rd
Building A
Floor 2",San Francisco,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Stuart."
"Acme, Inc.","555 Market St, Floor 12",New York,CA,"Standard account, no special terms."
"Acme, Inc.","12 Industrial Way, Unit B",New York,IL,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Stuart."
"Acme, Inc.","789 Pine Rd
Building B
Floor 3",Los Angeles,NY,"Standard account, no special terms."
"O""Brien Corp","123 Main St, Suite 5",San Francisco,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Patel."
George Weston Bakeries,789 Pine Rd,Seattle,NY,"Standard account, no special terms."
"Ingram Micro, Inc.","123 Main St, Suite 5
Building B
Floor 18",San Francisco,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Hogan."
George Weston Bakeries,"555 Market St, Floor 12",Seattle,WA,"Standard account, no special terms."
"Acme, Inc.",789 Pine Rd,Seattle,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Hogan."
"Great Plains Energy, Inc.","789 Pine Rd
Building B
Floor 1",Seattle,NY,"Standard account, no special terms."
George Weston Bakeries,"123 Main St, Suite 5",New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Patel."
"Contoso, Ltd.","123 Main St, Suite 5",New York,TX,"Standard account, no special terms."
George Weston Bakeries,"789 Pine Rd
Building A
Floor 5",Chicago,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Smith."
Johnson's Hardware,321 Elm St,Miami,NY,"Standard account, no special terms."
Johnson's Hardware,456 Oak Ave,San Francisco,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Patel."
"Northwind Traders, LLC","9 Riverside Dr
Building C
Floor 8",Chicago,TX,"Standard account, no special terms."
"Ingram Micro, Inc.","123 Main St, Suite 5",Chicago,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Khan."
"O""Brien Corp",789 Pine Rd,Chicago,CA,"Standard account, no special terms."
"Acme, Inc.","456 Oak Ave
Building B
Floor 17",Chicago,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Reyes."
Johnson's Hardware,"12 Industrial Way, Unit B",Chicago,TX,"Standard account, no special terms."
"Ingram Micro, Inc.",321 Elm St,San Francisco,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Nelson."
Johnson's Hardware,"321 Elm St
Building B
Floor 15",Chicago,NY,"Standard account, no special terms."
"Great Plains Energy, Inc.","555 Market St, Floor 12",Chicago,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Nelson."
"Great Plains Energy, Inc.",321 Elm St,Chicago,IL,"Standard account, no special terms."
"Acme, Inc.","789 Pine Rd
Building A
Floor 20",New York,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Smith."
Johnson's Hardware,"12 Industrial Way, Unit B",Miami,IL,"Standard account, no special terms."
"O""Brien Corp",789 Pine Rd,Chicago,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Patel."
George Weston Bakeries,"123 Main St, Suite 5
Building A
Floor 11",Miami,IL,"Standard account, no special terms."
"Acme, Inc.","555 Market St, Floor 12",Houston,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Khan."
"Acme, Inc.",9 Riverside Dr,Houston,IL,"Standard account, no special terms."
"Northwind Traders, LLC","555 Market St, Floor 12
Building A
Floor 12",San Francisco,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Hogan."
Johnson's Hardware,"555 Market St, Floor 12",Miami,FL,"Standard account, no special terms."
"O""Brien Corp",456 Oak Ave,Seattle,TX,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Smith."
"Northwind Traders, LLC","555 Market St, Floor 12
Building A
Floor 13",San Francisco,FL,"Standard account, no special terms."
"O""Brien Corp","123 Main St, Suite 5",Chicago,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Khan."
"Northwind Traders, LLC","123 Main St, Suite 5",New York,IL,"Standard account, no special terms."
Smith & Sons,"321 Elm St
Building B
Floor 13",Miami,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Khan."
"Acme, Inc.","555 Market St, Floor 12",Miami,FL,"Standard account, no special terms."
George Weston Bakeries,789 Pine Rd,Seattle,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Doe."
George Weston Bakeries,"9 Riverside Dr
Building C
Floor 1",Los Angeles,NY,"Standard account, no special terms."
"O""Brien Corp","12 Industrial Way, Unit B",Seattle,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Chen."
"Ingram Micro, Inc.","123 Main St, Suite 5",Los Angeles,CA,"Standard account, no special terms."
Smith & Sons,"321 Elm St
Building C
Floor 5",Los Angeles,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Patel."
George Weston Bakeries,321 Elm St,Chicago,FL,"Standard account, no special terms."
"Ingram Micro, Inc.","12 Industrial Way, Unit B",Houston,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Smith."
Johnson's Hardware,"555 Market St, Floor 12
Building B
Floor 8",Miami,IL,"Standard account, no special terms."
"Ingram Micro, Inc.","555 Market St, Floor 12",Chicago,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Reyes."
"Ingram Micro, Inc.",789 Pine Rd,Los Angeles,CA,"Standard account, no special terms."
"Ingram Micro, Inc.","789 Pine Rd
Building B
Floor 11",New York,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Hogan."
"O""Brien Corp",321 Elm St,Seattle,NY,"Standard account, no special terms."
George Weston Bakeries,9 Riverside Dr,Chicago,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Hogan."
"O""Brien Corp","9 Riverside Dr
Building A
Floor 11",San Francisco,CA,"Standard account, no special terms."
George Weston Bakeries,321 Elm St,Chicago,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Nelson."
"Northwind Traders, LLC",456 Oak Ave,Los Angeles,TX,"Standard account, no special terms."
"Northwind Traders, LLC","789 Pine Rd
Building A
Floor 1",Los Angeles,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Reyes."
Johnson's Hardware,"123 Main St, Suite 5",Seattle,TX,"Standard account, no special terms."
"Great Plains Energy, Inc.",9 Riverside Dr,Chicago,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Hogan."
Global Trading Co.,"789 Pine Rd
Building B
Floor 13",Houston,CA,"Standard account, no special terms."
"O""Brien Corp",321 Elm St,New York,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Hogan."
"Great Plains Energy, Inc.",321 Elm St,Houston,IL,"Standard account, no special terms."
"Great Plains Energy, Inc.","555 Market St, Floor 12
Building C
Floor 5",Miami,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Stuart."
Johnson's Hardware,456 Oak Ave,New York,IL,"Standard account, no special terms."
"Contoso, Ltd.",9 Riverside Dr,Houston,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Stuart."
"Great Plains Energy, Inc.","555 Market St, Floor 12
Building B
Floor 11",Chicago,IL,"Standard account, no special terms."
"Ingram Micro, Inc.","555 Market St, Floor 12",Miami,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Khan."
"Northwind Traders, LLC",321 Elm St,Chicago,IL,"Standard account, no special terms."
Smith & Sons,"456 Oak Ave
Building C
Floor 4",Chicago,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Stuart."
